code,aoi_name,ptype,monitoring_number,version_number,category,subcategory,unit,total,affected,total_raw,affected_raw,snapshot_date
EMSR865,Monterìa,DEL,0,2,Land use,Heterogeneous agricultural areas ,ha,84739.0,13792.2,84739.0,13792.2,2026-08-16
EMSR865,Monterìa,DEL,0,2,Land use,Heterogeneous agricultural areas ,ha,84739.0,13792.2,84739.0,13792.2,2026-08-18
EMSR865,Monterìa,DEL,0,2,Land use,Heterogeneous agricultural areas ,ha,84739.0,13792.2,84739.0,13792.2,2026-08-21
EMSR865,Monterìa,DEL,0,2,Land use,Inland wetlands ,ha,44173.7,14290.5,44173.7,14290.5,2026-08-15
EMSR865,Monterìa,DEL,0,2,Land use,Inland wetlands ,ha,44173.7,14290.5,44173.7,14290.5,2026-08-16
EMSR865,Monterìa,DEL,0,2,Land use,Inland wetlands ,ha,44173.7,14290.5,44173.7,14290.5,2026-08-18
EMSR865,Monterìa,DEL,0,2,Land use,Inland wetlands ,ha,44173.7,14290.5,44173.7,14290.5,2026-08-21
EMSR865,Monterìa,DEL,0,2,Land use,Other,ha,9775.1,913.7,9775.1,913.7,2026-08-15
EMSR865,Monterìa,DEL,0,2,Land use,Other,ha,9775.1,913.7,9775.1,913.7,2026-08-16
EMSR865,Monterìa,DEL,0,2,Land use,Other,ha,9775.1,913.7,9775.1,913.7,2026-08-18
EMSR865,Monterìa,DEL,0,2,Land use,Other,ha,9775.1,913.7,9775.1,913.7,2026-08-21
EMSR865,Monterìa,DEL,0,2,Land use,Shrub and/or herbaceous vegetation association,ha,226707.3,35245.8,226707.3,35245.8,2026-08-15
EMSR865,Monterìa,DEL,0,2,Land use,Shrub and/or herbaceous vegetation association,ha,226707.3,35245.8,226707.3,35245.8,2026-08-16
EMSR865,Monterìa,DEL,0,2,Land use,Shrub and/or herbaceous vegetation association,ha,226707.3,35245.8,226707.3,35245.8,2026-08-18
EMSR865,Monterìa,DEL,0,2,Land use,Shrub and/or herbaceous vegetation association,ha,226707.3,35245.8,226707.3,35245.8,2026-08-21
EMSR865,Monterìa,DEL,0,2,Maximum of all extents**,None,ha,\N,66557.1,"""NA""",66557.1,2026-08-15
EMSR865,Monterìa,DEL,0,2,Maximum of all extents**,None,ha,\N,66557.1,"""NA""",66557.1,2026-08-16
EMSR865,Monterìa,DEL,0,2,Maximum of all extents**,None,ha,\N,66557.1,"""NA""",66557.1,2026-08-18
EMSR865,Monterìa,DEL,0,2,Maximum of all extents**,None,ha,\N,66557.1,"""NA""",66557.1,2026-08-21
EMSR865,Monterìa,DEL,0,2,Transportation,Airfield runways,km,7.1,0.3,7.1,0.3,2026-08-15
EMSR865,Monterìa,DEL,0,2,Transportation,Airfield runways,km,7.1,0.3,7.1,0.3,2026-08-16
EMSR865,Monterìa,DEL,0,2,Transportation,Airfield runways,km,7.1,0.3,7.1,0.3,2026-08-18
EMSR865,Monterìa,DEL,0,2,Transportation,Airfield runways,km,7.1,0.3,7.1,0.3,2026-08-21
EMSR865,Monterìa,DEL,0,2,Transportation,Cart Track,km,2713.6,209.7,2713.6,209.7,2026-08-15
EMSR865,Monterìa,DEL,0,2,Transportation,Cart Track,km,2713.6,209.7,2713.6,209.7,2026-08-16
EMSR865,Monterìa,DEL,0,2,Transportation,Cart Track,km,2713.6,209.7,2713.6,209.7,2026-08-18
EMSR865,Monterìa,DEL,0,2,Transportation,Cart Track,km,2713.6,209.7,2713.6,209.7,2026-08-21
EMSR865,Monterìa,DEL,0,2,Transportation,Highways,km,136.8,9.4,136.8,9.4,2026-08-15
EMSR865,Monterìa,DEL,0,2,Transportation,Highways,km,136.8,9.4,136.8,9.4,2026-08-16
EMSR865,Monterìa,DEL,0,2,Transportation,Highways,km,136.8,9.4,136.8,9.4,2026-08-18
EMSR865,Monterìa,DEL,0,2,Transportation,Highways,km,136.8,9.4,136.8,9.4,2026-08-21
EMSR865,Monterìa,DEL,0,2,Transportation,Local Road,km,2304.2,280.8,2304.2,280.8,2026-08-15
EMSR865,Monterìa,DEL,0,2,Transportation,Local Road,km,2304.2,280.8,2304.2,280.8,2026-08-16
EMSR865,Monterìa,DEL,0,2,Transportation,Local Road,km,2304.2,280.8,2304.2,280.8,2026-08-18
EMSR865,Monterìa,DEL,0,2,Transportation,Local Road,km,2304.2,280.8,2304.2,280.8,2026-08-21
EMSR865,Monterìa,DEL,0,2,Transportation,Primary Road,km,252.6,16.0,252.6,16.0,2026-08-15
EMSR865,Monterìa,DEL,0,2,Transportation,Primary Road,km,252.6,16.0,252.6,16.0,2026-08-16
EMSR865,Monterìa,DEL,0,2,Transportation,Primary Road,km,252.6,16.0,252.6,16.0,2026-08-18
EMSR865,Monterìa,DEL,0,2,Transportation,Primary Road,km,252.6,16.0,252.6,16.0,2026-08-21
EMSR865,Monterìa,DEL,0,2,Transportation,Secondary Road,km,151.1,5.8,151.1,5.8,2026-08-15
EMSR865,Monterìa,DEL,0,2,Transportation,Secondary Road,km,151.1,5.8,151.1,5.8,2026-08-16
EMSR865,Monterìa,DEL,0,2,Transportation,Secondary Road,km,151.1,5.8,151.1,5.8,2026-08-18
EMSR865,Monterìa,DEL,0,2,Transportation,Secondary Road,km,151.1,5.8,151.1,5.8,2026-08-21
EMSR865,Monterìa,DEL,1,1,Built-up,Industrial buildings,ha,104.3,0.2,104.3,0.2,2026-08-15
EMSR865,Monterìa,DEL,1,1,Built-up,Industrial buildings,ha,104.3,0.2,104.3,0.2,2026-08-16
EMSR865,Monterìa,DEL,1,1,Built-up,Industrial buildings,ha,104.3,0.2,104.3,0.2,2026-08-18
EMSR865,Monterìa,DEL,1,1,Built-up,Industrial buildings,ha,104.3,0.2,104.3,0.2,2026-08-21
EMSR865,Monterìa,DEL,1,1,Built-up,Residential Buildings,ha,1039.4,47.3,1039.4,47.3,2026-08-15
EMSR865,Monterìa,DEL,1,1,Built-up,Residential Buildings,ha,1039.4,47.3,1039.4,47.3,2026-08-16
EMSR865,Monterìa,DEL,1,1,Built-up,Residential Buildings,ha,1039.4,47.3,1039.4,47.3,2026-08-18
EMSR865,Monterìa,DEL,1,1,Built-up,Residential Buildings,ha,1039.4,47.3,1039.4,47.3,2026-08-21
EMSR865,Monterìa,DEL,1,1,Built-up,"School, university and research buildings",ha,134.5,1.1,134.5,1.1,2026-08-15
EMSR865,Monterìa,DEL,1,1,Built-up,"School, university and research buildings",ha,134.5,1.1,134.5,1.1,2026-08-16
EMSR865,Monterìa,DEL,1,1,Built-up,"School, university and research buildings",ha,134.5,1.1,134.5,1.1,2026-08-18
