resource_id,dataset,dataset_id,municipio,departamento,nombre,formato,conjunto_huellas,ubicacion,ruta,sha256,bytes,download_url,total_edificios,total_danados,total_revisados,total_desconocidos,first_seen,snapshot_date
2e917265-3d4e-4660-8256-51c77c435063,cali,98e2bb4b-e2b9-4178-bf47-826883ca08cc,Cali,Valle del Cauca,airbus_8-10_cali_valid_area_mask.geojson,GeoJSON,\N,git,data/media/airbus_8-10_cali_valid_area_mask.geojson,4f13051b9054400a6ab0a80fbf5c287cd0debad7e49c937ebe393c0f728e25a4,717,https://data.humdata.org/dataset/98e2bb4b-e2b9-4178-bf47-826883ca08cc/resource/2e917265-3d4e-4660-8256-51c77c435063/download/airbus_8-10_cali_valid_area_mask.geojson,\N,\N,\N,\N,2026-08-30T16:24:01Z,2026-08-30
5bb4056d-461b-4336-af49-e2022f1b486b,pereira_extended,7e4d0010-e05e-40d6-8c85-10d1139571e8,Pereira,Risaralda,valid_area_mask-pereira_east.geojson,GeoJSON,\N,git,data/media/valid_area_mask-pereira_east.geojson,48dae0f24716e84e7d78ee424e3d0269322ce2ba25357d2d6b9944a3710259c6,459,https://data.humdata.org/dataset/7e4d0010-e05e-40d6-8c85-10d1139571e8/resource/5bb4056d-461b-4336-af49-e2022f1b486b/download/valid_area_mask-pereira_east.geojson,\N,\N,\N,\N,2026-08-30T16:24:07Z,2026-08-30
bb51b3cd-7f0a-4d25-bb7a-bb1d82d8b4ac,pereira,ee1f2b95-25ce-4927-91f1-0b432f032091,Pereira,Risaralda,vantor_8-12_pereira_valid_area_mask.geojson,GeoJSON,\N,git,data/media/vantor_8-12_pereira_valid_area_mask.geojson,505fec88d99b9709a462d55c914ba8c552f0424c8b1eb8a896aafe6313538440,1628,https://data.humdata.org/dataset/ee1f2b95-25ce-4927-91f1-0b432f032091/resource/bb51b3cd-7f0a-4d25-bb7a-bb1d82d8b4ac/download/vantor_8-12_pereira_valid_area_mask.geojson,\N,\N,\N,\N,2026-08-30T16:24:04Z,2026-08-30
