paquete_sha,capa,idx,producto_id,municipio,departamento,dano,tipo,sensor,sensor_date,metodo,copyright,lat,lon,first_seen,snapshot_date
30f81bb1cf985789e6cd8a53f964f75e19203f150ab65e91589800a7ba3f0db3,UrbanP,63,3246,Cali,Valle del Cauca,Possibly damaged,Residential,Pleiades,2026/08/11 15:55 UTC,Photo-interpretation,© ICube-SERTIT 2026,3.396152027000028,-76.54767906099994,2026-08-21T09:23:55Z,2026-08-31
30f81bb1cf985789e6cd8a53f964f75e19203f150ab65e91589800a7ba3f0db3,UrbanP,64,3246,Cali,Valle del Cauca,Possibly damaged,Residential,Pleiades,2026/08/11 15:55 UTC,Photo-interpretation,© ICube-SERTIT 2026,3.396476342000028,-76.54760343599997,2026-08-21T09:23:55Z,2026-08-31
30f81bb1cf985789e6cd8a53f964f75e19203f150ab65e91589800a7ba3f0db3,UrbanP,65,3246,Cali,Valle del Cauca,Possibly damaged,Residential,Pleiades,2026/08/11 15:55 UTC,Photo-interpretation,© ICube-SERTIT 2026,3.396556081000028,-76.54810448999996,2026-08-21T09:23:55Z,2026-08-31
30f81bb1cf985789e6cd8a53f964f75e19203f150ab65e91589800a7ba3f0db3,UrbanP,66,3246,Cali,Valle del Cauca,Possibly damaged,Residential,Pleiades,2026/08/11 15:55 UTC,Photo-interpretation,© ICube-SERTIT 2026,3.396638984000049,-76.54789022499995,2026-08-21T09:23:55Z,2026-08-31
30f81bb1cf985789e6cd8a53f964f75e19203f150ab65e91589800a7ba3f0db3,UrbanP,67,3246,Cali,Valle del Cauca,Possibly damaged,Residential,Pleiades,2026/08/11 15:55 UTC,Photo-interpretation,© ICube-SERTIT 2026,3.416860858000064,-76.53961735899998,2026-08-21T09:23:55Z,2026-08-31
30f81bb1cf985789e6cd8a53f964f75e19203f150ab65e91589800a7ba3f0db3,UrbanP,68,3246,Cali,Valle del Cauca,Not Applicable,Tent/shelter,Pleiades,2026/08/11 15:55 UTC,Photo-interpretation,© ICube-SERTIT 2026,3.424358220000045,-76.53477588799996,2026-08-21T09:23:55Z,2026-08-31
30f81bb1cf985789e6cd8a53f964f75e19203f150ab65e91589800a7ba3f0db3,UrbanP,69,3246,Cali,Valle del Cauca,Not Applicable,Tent/shelter,Pleiades,2026/08/11 15:55 UTC,Photo-interpretation,© ICube-SERTIT 2026,3.424369520000027,-76.53486126599995,2026-08-21T09:23:55Z,2026-08-31
30f81bb1cf985789e6cd8a53f964f75e19203f150ab65e91589800a7ba3f0db3,UrbanP,70,3246,Cali,Valle del Cauca,Not Applicable,Tent/shelter,Pleiades,2026/08/11 15:55 UTC,Photo-interpretation,© ICube-SERTIT 2026,3.424277958000062,-76.53490095399997,2026-08-21T09:23:55Z,2026-08-31
30f81bb1cf985789e6cd8a53f964f75e19203f150ab65e91589800a7ba3f0db3,UrbanP,71,3246,Cali,Valle del Cauca,Not Applicable,Tent/shelter,Pleiades,2026/08/11 15:55 UTC,Photo-interpretation,© ICube-SERTIT 2026,3.424174938000021,-76.53495390299997,2026-08-21T09:23:55Z,2026-08-31
30f81bb1cf985789e6cd8a53f964f75e19203f150ab65e91589800a7ba3f0db3,UrbanP,72,3246,Cali,Valle del Cauca,Not Applicable,Tent/shelter,Pleiades,2026/08/11 15:55 UTC,Photo-interpretation,© ICube-SERTIT 2026,3.424268659000063,-76.53475677699998,2026-08-21T09:23:55Z,2026-08-31
