source,external_id,fecha,departamento,municipio,divipola,evento,muertos,heridos,desaparecidos,personas,familias,viv_destruidas,viv_averiadas,vias,acueductos,centros_salud,centros_educativos,lat,lon
ungrd_arcgis,58168,2004-04-27,NORTE DE SANTANDER,CHINACOTA,\N,INUNDACION,0.0,0.0,0.0,515.0,103.0,0.0,40.0,0.0,0.0,0.0,0.0,7.583353136,-72.583909779
ungrd_arcgis,58169,2005-11-16,NORTE DE SANTANDER,CHINACOTA,\N,DESLIZAMIENTO,0.0,0.0,0.0,230.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,7.583353136,-72.583909779
ungrd_arcgis,5817,2024-01-27,CAUCA,POPAYAN,19001,INCENDIO ESTRUCTURAL,0.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.471704362,-76.591944191
ungrd_arcgis,58170,2008-07-11,NORTE DE SANTANDER,CHINACOTA,\N,VENDAVAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.583353136,-72.583909779
ungrd_arcgis,58171,2010-11-16,NORTE DE SANTANDER,CHINACOTA,\N,DESLIZAMIENTO,0.0,0.0,0.0,698.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,7.583353136,-72.583909779
ungrd_arcgis,58172,2011-01-16,NORTE DE SANTANDER,CHINACOTA,\N,DESLIZAMIENTO,0.0,0.0,0.0,25.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,7.583353136,-72.583909779
ungrd_arcgis,58173,2011-04-19,NORTE DE SANTANDER,CHINACOTA,\N,INUNDACION,0.0,1.0,0.0,40.0,8.0,8.0,0.0,1.0,0.0,0.0,1.0,7.583353136,-72.583909779
ungrd_arcgis,58174,2011-04-22,NORTE DE SANTANDER,CHINACOTA,\N,DESLIZAMIENTO,0.0,0.0,0.0,312.0,78.0,0.0,78.0,0.0,0.0,0.0,0.0,7.583353136,-72.583909779
ungrd_arcgis,58175,2011-11-29,NORTE DE SANTANDER,CHINACOTA,\N,INUNDACION,0.0,0.0,0.0,25.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,7.583353136,-72.583909779
ungrd_arcgis,58176,2011-12-03,NORTE DE SANTANDER,CHINACOTA,\N,COLAPSO ESTRUCTURAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.583353136,-72.583909779
ungrd_arcgis,58177,2011-12-12,NORTE DE SANTANDER,CHINACOTA,\N,DESLIZAMIENTO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.583353136,-72.583909779
ungrd_arcgis,58178,2012-03-26,NORTE DE SANTANDER,CHINACOTA,\N,DESLIZAMIENTO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.583353136,-72.583909779
ungrd_arcgis,58179,2012-04-19,NORTE DE SANTANDER,CHINACOTA,\N,DESLIZAMIENTO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.583353136,-72.583909779
ungrd_arcgis,5818,2024-01-27,CAUCA,POPAYAN,19001,INCENDIO FORESTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.471704362,-76.591944191
ungrd_arcgis,58180,2012-04-21,NORTE DE SANTANDER,CHINACOTA,\N,DESLIZAMIENTO,0.0,0.0,0.0,15.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,7.583353136,-72.583909779
ungrd_arcgis,58181,2013-04-10,NORTE DE SANTANDER,CHINACOTA,\N,INCENDIO FORESTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.583353136,-72.583909779
ungrd_arcgis,58182,2013-07-14,NORTE DE SANTANDER,CHINACOTA,\N,INCENDIO FORESTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.583353136,-72.583909779
ungrd_arcgis,58183,2014-01-24,NORTE DE SANTANDER,CHINACOTA,\N,INCENDIO FORESTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.583353136,-72.583909779
ungrd_arcgis,58184,2014-02-12,NORTE DE SANTANDER,CHINACOTA,\N,INCENDIO FORESTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.583353136,-72.583909779
ungrd_arcgis,58185,2014-02-15,NORTE DE SANTANDER,CHINACOTA,\N,INCENDIO FORESTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.583353136,-72.583909779
ungrd_arcgis,58186,2014-09-10,NORTE DE SANTANDER,CHINACOTA,\N,INCENDIO FORESTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.583353136,-72.583909779
ungrd_arcgis,58187,2015-01-30,NORTE DE SANTANDER,CHINACOTA,\N,INCENDIO FORESTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.583353136,-72.583909779
ungrd_arcgis,58188,2015-02-04,NORTE DE SANTANDER,CHINACOTA,\N,INCENDIO FORESTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.583353136,-72.583909779
ungrd_arcgis,58189,2015-03-11,NORTE DE SANTANDER,CHINACOTA,\N,SISMO,0.0,0.0,0.0,10.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,7.583353136,-72.583909779
ungrd_arcgis,5819,2024-01-27,RISARALDA,PEREIRA,66001,INCENDIO ESTRUCTURAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.803662773,-75.795790934
ungrd_arcgis,58190,2015-10-19,NORTE DE SANTANDER,CHINACOTA,\N,INCENDIO FORESTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.583353136,-72.583909779
ungrd_arcgis,58191,2016-08-17,NORTE DE SANTANDER,CHINACOTA,\N,INCENDIO FORESTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.583353136,-72.583909779
ungrd_arcgis,58192,2016-11-09,NORTE DE SANTANDER,CHINACOTA,\N,INUNDACION,0.0,0.0,0.0,60.0,12.0,0.0,12.0,0.0,0.0,0.0,0.0,7.583353136,-72.583909779
ungrd_arcgis,58193,2017-05-12,NORTE DE SANTANDER,CHINACOTA,\N,DESLIZAMIENTO,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.583353136,-72.583909779
ungrd_arcgis,58194,2018-10-15,NORTE DE SANTANDER,CHINACOTA,\N,INUNDACION,0.0,0.0,0.0,355.0,71.0,0.0,6.0,2.0,1.0,0.0,1.0,7.583353136,-72.583909779
ungrd_arcgis,58195,2018-12-15,NORTE DE SANTANDER,CHINACOTA,\N,INCENDIO FORESTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.583353136,-72.583909779
ungrd_arcgis,58196,2019-05-28,NORTE DE SANTANDER,CHINACOTA,\N,VENDAVAL,0.0,0.0,0.0,100.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,7.583353136,-72.583909779
ungrd_arcgis,58197,2019-07-27,NORTE DE SANTANDER,CHINACOTA,\N,VENDAVAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.583353136,-72.583909779
ungrd_arcgis,58198,2019-11-25,NORTE DE SANTANDER,CHINACOTA,\N,DESLIZAMIENTO,0.0,0.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,7.583353136,-72.583909779
